Column1;Column2;Column3
žádám (někoho o něco);αἰτῶ, εῖν (τινά τι);
blížím se;πλησιάζω;
zůstávám;μένω;
podstupuji nebezpečí;κινδυνεύω;
myslím na;ὑπο-λογίζομαι (s ak.);
nařizuji, přikazuji;προσ-τάττω;
přicházím;ἔπ-ειμι, ιέναι;
odcházím;ἄπ-ειμι, ιέναι;
obcházím, chodím dokola;περί-ειμι, ιέναι;
hledám;ζητῶ, εῖν;
unáším, loupím;ἁρπάζω;
blížím se;πρόσ-ειμι, ιέναι;
naloďuji;ἀνα-βιβάζω;
pluji na moře;ἀν-άγομαι;
naplňuji;πληρῶ, οῦν;
děsím;ἐκ-πλήττω;
jsem bezradný;ἀ-πορῶ, εῖν;
rozpínám, napínám;ἐκ-τείνω;
myslím; mám za to, že;οἴομαι
liším se;δια-φέρω;
obědvám;δειπνῶ, εῖν;
rozmlouvám;δια-λέγομαι (s dat.);
zbavuji něk. něč., připravuji něk. o něco;ἀπο-στερῶ, εῖν (τινά τινος);
špatně mluvím o někom;κακῶς λέγω (s ak.);
blahoslavím;μακαρίζω;
kradu;κλέπτω;
podnikám boj na moři;ναυμαχίαν ποιοῦμαι;
lze;ἔστι;
umírám;άπο-θνῄσκω;
kouzlím, okouzluji;κηλῶ, εῖν;
následuji;ἕπομαι (s dat.);
slyším něco od něk.;ἀκούω (τινός τι);
uhlazeně mluvím;καλλιεπῶ, εῖν;
opevňuji;τειχίζω;
roztrušuji;δια-σπείρω;
nevěřím, nedůvěřuji;ἀ-πιστῶ, εῖν;
táhnu v čele, vedu;ἡγοῦμαί (τινι);
nařizuji, přikazuji;παρ-αγγέλλω;
hubím, ničím, kazím;δια-φθείρω;
uvažuji, rozjímám;σκέπτομαι;
pečuji, mám se na pozoru, varuji se;εὐλαβοῦμαι, εῖσθαι;
snáším, přispívám, prospívám;συμ-φέρω;
(impf. snahové) nemohli přemluviti;οὐκ ἔπειθον;
plodím, rodím;γεννῶ, ᾶν;
mohu;ἔχω (s inf.);
poučuji;ἐκ-διδάσκω;
nikterak neusiluji;οὐδὲν πράττω;
podřizuji;ὑπο-τάττω;
vrážím do někoho něčím;ἐν-σείω (τινί τι);
udeřuji;πλήττω;
unikám;ἀπο-φεύγω;
nařizuji;ἐπι-τάττω;
házím, vrhám;ῥίπτω;
žaluji;κατ-ηγορῶ, εῖν;
uvažuji;λογίζομαι;
společně živím, vychovávám;συν-τρέφω;
pobíjím, rozbíjím, rozdrcuji;κατα-κόπτω;
uchvacuji, plením;ἀν-αρπάζω;
uvádím do otroctví, zotročuji;ἀνδραποδίζω;
zakládám;κτίζω;
zkouším, pokouším se;πειρῶμαι, ᾶσθαι;
hlasuji;ψηφίζομαι;
odesílám;άπο-στέλλω;
zvěstuji, ohlašuji;ἀπ-αγγέλλω;
ukládám, nařizuji;ἐν-τέλλομαι;
vyžaduji;ἐξ-αιτῶ, εῖν;
šílím;μαίνομαι;
zabodávám, usmrcuji;ἀπο-σφάττω;
odcházím;άπο-χωρῶ, εῖν;
jsem rozumný;σωφρονῶ, εῖν;
otřásám;σείω;
činím, uzavírám smlouvu s;σπένδομαί (τινι);
pláči, oplakávám;κλαίω;
ustávám činiti;παύομαι ποιῶν;
spaluji;κατα-καίω;
hnětu (uplácávám), tvořím;πλάττω;
upadl jsem;ἔπεσον (πίπτω);
dávám;δίδωμι;
předkládám;παρα-τίθημι;
čtu;ἀνα-γιγνώσκω;
kladu;τίθημι;
